"IDinegi","IDife","year","d_pri","d_pan","d_prd","d_nulo","d_part","p_pri","p_pan","p_prd","p_nulo","p_part"
"03001","03001",2006,0.187285797876787,0.321031513834322,0.441737022485998,0.0236562735099891,0.522037004712864,0.189424031777557,0.368214167494207,0.408142999006951,0.0184127772260841,0.527317158317333
"03001","03001",2009,0.110616587102413,0.227366477251053,0.425857573747635,0.0321862772107124,NA,NA,NA,NA,NA,NA
"03001","03001",2012,0.298999929572505,0.476829354179872,0.202866399042186,0.0928586520177477,0.589206797103554,0.473415469758862,0.355876927131374,0.155751745948083,0.0213466859928844,0.629831732265494
"03002","03002",2006,0.239470167896357,0.259687445535351,0.446522976819845,0.0234125370359612,0.537654224582227,0.202082859094013,0.308217618939222,0.454245390393808,0.0187798770771682,0.548867718257067
"03002","03002",2009,0.213883250951767,0.123056121170521,0.458192467689514,0.0447749979794025,NA,NA,NA,NA,NA,NA
"03002","03002",2012,0.40985759014241,0.368700131299869,0.180840319159681,0.0983739016260984,0.555331201974312,0.457206167482227,0.315575662450374,0.204043947927246,0.0241436617117533,0.607493409613551
"03003","03003",2006,0.23711510350356,0.252534540481916,0.434773895411892,0.0198637242419956,0.573177653450093,0.181847872998099,0.313305572080111,0.450665453569887,0.0152570248801484,0.579279169707289
"03003","03003",2009,0.235735833644867,0.165707051753998,0.287589758634567,0.0716416388750076,NA,NA,NA,NA,NA,NA
"03003","03003",2012,0.378283677719045,0.341092023065834,0.227474771744354,0.0926938170751241,0.574233975280253,0.422330187277051,0.260701545778835,0.294840591557669,0.0194894470868014,0.618844495544697
"03008","03004",2006,0.140812379110251,0.344521561042212,0.449652975310047,0.0184776425076801,0.457941685250412,0.119117162622159,0.408542879103986,0.430306357746788,0.0145163061381355,0.474510743836102
"03008","03004",2009,0.289940237998962,0.125257402658463,0.401386171579361,0.0529104508459568,NA,NA,NA,NA,NA,NA
"03008","03004",2012,0.344228738314711,0.413408258256301,0.203927039465964,0.0880845904118698,0.474123755949805,0.384814882142641,0.331418529964249,0.263830818639035,0.0217293825365085,0.510076033875255
"03009","03005",2006,0.159846547314578,0.424126172208014,0.35464620630861,0.0417732310315431,0.580405739732806,0.146321908198036,0.464020845860894,0.358188013629986,0.0114251352976548,0.617144977733795
"03009","03005",2009,0.109214268624783,0.182096734642982,0.430291086435318,0.0411468595266342,NA,NA,NA,NA,NA,NA
"03009","03005",2012,0.437614678899083,0.452905198776758,0.0880733944954128,0.0980122324159021,0.607411535246587,0.517894155036617,0.340334392704159,0.130164432776012,0.0163050987978444,0.672146373177301
"04001","04002",2006,0.391514684476411,0.315609213117561,0.164654508091446,0.0270571110540286,0.7300515705579,0.337348886532344,0.339342523860021,0.263966065747614,0.0265111346765642,0.736833880293796
"04001","04002",2009,0.437812268733978,0.377131074666977,0.0134253781288862,0.0432129353284836,NA,NA,NA,NA,NA,NA
"04001","04002",2012,0.477073917480682,0.285026971861787,0.126330368858434,0.105445400204111,0.754420216130008,0.452362191236425,0.276713830552605,0.233957997875912,0.0244612696563774,0.802623257348695
"04002","04001",2006,0.331366402360317,0.36977008259169,0.223589584324078,0.0349680211962693,0.637254234981972,0.247789896670494,0.364485265977803,0.341523153463452,0.0277363184079602,0.646426163808299
"04002","04001",2009,0.41352766752243,0.382054567337036,0.019336462020874,0.0415650904178619,NA,NA,NA,NA,NA,NA
"04002","04001",2012,0.500562748695043,0.242088285078741,0.189039250613706,0.0916438465424188,0.617298066139665,0.400385391511463,0.260842237586424,0.308007211617983,0.0224122531344074,0.661484176263027
